,Text#,Type,Issued,Title,Language,Authors,Subjects,LoCC,Bookshelves
2023,2054,Text,2000-01-01,Iphigenie auf Tauris,de,"Goethe, Johann Wolfgang von, 1749-1832",Iphigenia (Mythological character) -- Drama,PT,DE Drama
2114,2146,Text,2000-04-01,Egmont,de,"Goethe, Johann Wolfgang von, 1749-1832","Egmont, Lamoraal, Graaf van, 1522-1568 -- Drama; Tragedies",PT,Harvard Classics; DE Drama
2142,2174,Text,2000-05-01,Frau und Kindern auf der Spur,de,"Rohner, Gerold K.",Fiction; Western stories,PT,DE Prosa
2155,2187,Text,2000-05-01,Oberon,de,"Wieland, Christoph Martin, 1733-1813",German poetry -- 18th century,PT,Opera; DE Lyrik
2156,2188,Text,2000-05-01,Die Aufzeichnungen des Malte Laurids Brigge,de,"Rilke, Rainer Maria, 1875-1926",Paris (France) -- Fiction; Stream of consciousness fiction,PT,DE Prosa
2157,2189,Text,2000-05-01,Der G'wissenswurm: Bauernkomödie in drei Akten,de,"Anzengruber, Ludwig, 1839-1889",Comedies; Austrian drama -- 19th century; Villages -- Drama,PT,DE Drama
2158,2190,Text,2000-05-01,Isabella von Ägypten: Kaiser Karl des Fünften erste Jugendliebe,de,"Arnim, Ludwig Achim, Freiherr von, 1781-1831","Charles V, Holy Roman Emperor, 1500-1558 -- Fiction",PT,DE Prosa
2195,2228,Text,2000-06-01,Reineke Fuchs,de,"Goethe, Johann Wolfgang von, 1749-1832",German poetry -- 18th century; Epic poetry; Reynard the Fox (Legendary character) -- Poetry,PT,DE Lyrik
2196,2229,Text,2000-06-01,Faust: Der Tragödie erster Teil,de,"Goethe, Johann Wolfgang von, 1749-1832","German poetry; Legends -- Germany -- Drama; Faust, -approximately 1540 -- Drama; Magicians -- Drama",PT,Best Books Ever Listings; Harvard Classics; DE Drama
2197,2230,Text,2000-06-01,Faust: Der Tragödie zweiter Teil,de,"Goethe, Johann Wolfgang von, 1749-1832","German poetry; Legends -- Germany -- Drama; Faust, -approximately 1540 -- Drama; Magicians -- Drama",PT,Best Books Ever Listings; DE Drama
2279,2312,Text,2000-09-01,Hermann und Dorothea,de,"Goethe, Johann Wolfgang von, 1749-1832",German poetry -- 18th century,PT,Harvard Classics; DE Lyrik
2280,2313,Text,2000-09-01,Geschichte des Agathon. Teil 1,de,"Wieland, Christoph Martin, 1733-1813",Bildungsromans; Greece -- Fiction,PT,DE Prosa
2281,2314,Text,2000-09-01,Geschichte des Agathon. Teil 2,de,"Wieland, Christoph Martin, 1733-1813",Bildungsromans; Greece -- Fiction,PT,DE Prosa
2286,2319,Text,2000-09-01,West-östlicher Divan,de,"Goethe, Johann Wolfgang von, 1749-1832",German poetry -- 19th century,PT,DE Lyrik
2287,2320,Text,2000-09-01,Novelle,de,"Goethe, Johann Wolfgang von, 1749-1832",Nobility -- Fiction,PT,DE Prosa
2288,2321,Text,2000-09-01,Götz von Berlichingen mit der eisernen Hand: Ein Schauspiel,de,"Goethe, Johann Wolfgang von, 1749-1832","Berlichingen, Götz von, 1480-1562 -- Drama",PT,DE Drama
